route_id,route_short_name,route_long_name,route_type,agency_id
25,,ICE 372,2,DB
26,,ICE 278,2,DB
28,,ICE 275,2,SBB
30,,ICE 376,2,DB
32,,ICE 371,2,SBB
33,,ICE 373,2,SBB
38,,ICE 827,2,DB
39,,ICE 521,2,DB
40,,ICE 1018,2,DB
41,,ICE 1125,2,DB
42,,ICE 214,2,DB
43,,ICE 621,2,DB
44,,ICE 16,2,DB
45,,ICE 625,2,DB
46,,ICE 1122,2,DB
47,,ICE 629,2,DB
48,,ICE 816,2,DB
49,,ICE 817,2,DB
50,,ICE 17,2,DB
51,,ICE 1124,2,DB
52,,ICE 812,2,DB
53,,ICE 911,2,DB
54,,ICE 620,2,DB
55,,ICE 821,2,DB
56,,ICE 810,2,DB
57,,ICE 605,2,DB
58,,ICE 524,2,DB
60,,ICE 522,2,DB
61,,ICE 523,2,DB
63,,ICE 712,2,DB
64,,ICE 711,2,DB
65,,ICE 811,2,DB
66,,ICE 1223,2,DB
67,,ICE 813,2,DB
68,,ICE 815,2,DB
69,,ICE 820,2,DB
70,,ICE 726,2,DB
71,,ICE 818,2,DB
72,,ICE 12,2,DB
73,,ICE 132,2,NS
74,,ICE 1127,2,DB
75,,ICE 122,2,NS
76,,ICE 918,2,DB
77,,ICE 2520,2,DB
78,,ICE 152,2,NS
79,,ICE 152,2,DB
80,,ICE 819,2,DB
81,,ICE 2596,2,DB
82,,ICE 122,2,DB
83,,ICE 132,2,DB
84,,ICE 9571,2,DB
86,,ICE 9573,2,DB
87,,ICE 9553,2,DB
89,,ICE 9563,2,DB
91,,ICE 9555,2,DB
93,,ICE 9557,2,DB
112,,ICE 9568,2,DB
114,,ICE 9574,2,DB
115,,ICE 9572,2,DB
119,,ICE 9566,2,DB
165,,ICE 529,2,DB
166,,ICE 623,2,DB
167,,ICE 627,2,DB
168,,ICE 721,2,DB
169,,ICE 915,2,DB
170,,ICE 720,2,DB
171,,ICE 723,2,DB
172,,ICE 628,2,DB
173,,ICE 725,2,DB
174,,ICE 917,2,DB
175,,ICE 727,2,DB
176,,ICE 729,2,DB
177,,ICE 622,2,DB
178,,ICE 828,2,DB
179,,ICE 912,2,DB
180,,ICE 528,2,DB
181,,ICE 526,2,DB
182,,ICE 342,2,NS
183,,ICE 525,2,DB
184,,ICE 913,2,DB
185,,ICE 845,2,DB
186,,ICE 527,2,DB
187,,ICE 824,2,DB
188,,ICE 822,2,DB
189,,ICE 131,2,DB
190,,ICE 138,2,NS
191,,ICE 916,2,DB
192,,ICE 728,2,DB
193,,ICE 138,2,DB
194,,ICE 136,2,DB
195,,ICE 914,2,DB
196,,ICE 724,2,DB
197,,ICE 133,2,DB
198,,ICE 135,2,DB
199,,ICE 2587,2,DB
200,,ICE 626,2,DB
203,,ICE 1521,2,DB
206,,ICE 27,2,ÖBB
207,,ICE 2580,2,DB
214,,ICE 22,2,DB
220,,ICE 136,2,NS
221,,ICE 23,2,ÖBB
225,,ICE 1887,2,DB
227,,ICE 2593,2,DB
228,,ICE 722,2,DB
229,,ICE 1228,2,DB
230,,ICE 2592,2,DB
231,,ICE 2589,2,DB
232,,ICE 340,2,NS
233,,ICE 340,2,DB
235,,ICE 220,2,NS
236,,ICE 128,2,NS
237,,ICE 105,2,DB
238,,ICE 126,2,NS
239,,ICE 123,2,DB
240,,ICE 124,2,NS
241,,ICE 342,2,DB
375,,ICE 228,2,DB
376,,ICE 28,2,DB
377,,ICE 26,2,DB
378,,ICE 21,2,ÖBB
379,,ICE 90,2,DB
380,,ICE 91,2,ÖBB
381,,ICE 20,2,DB
382,,ICE 29,2,ÖBB
383,,ICE 229,2,ÖBB
388,,ICE 1526,2,DB
444,,ICE 1713,2,DB
445,,ICE 1729,2,DB
446,,ICE 1712,2,DB
454,,ICE 1531,2,DB
455,,ICE 1736,2,DB
502,,ICE 1507,2,DB
503,,ICE 1504,2,DB
542,,ICE 1714,2,DB
545,,ICE 995,2,DB
552,,ICE 802,2,DB
553,,ICE 701,2,DB
554,,ICE 800,2,DB
555,,ICE 703,2,DB
556,,ICE 1509,2,DB
557,,ICE 1508,2,DB
558,,ICE 707,2,DB
559,,ICE 1726,2,DB
560,,ICE 1727,2,DB
561,,ICE 704,2,DB
562,,ICE 709,2,DB
563,,ICE 702,2,DB
564,,ICE 801,2,DB
565,,ICE 700,2,DB
566,,ICE 1617,2,DB
567,,ICE 1516,2,DB
568,,ICE 1501,2,DB
569,,ICE 1503,2,DB
570,,ICE 901,2,DB
571,,ICE 1728,2,DB
572,,ICE 804,2,DB
573,,ICE 1723,2,DB
574,,ICE 2583,2,DB
576,,ICE 706,2,DB
577,,ICE 1627,2,DB
578,,ICE 1719,2,DB
579,,ICE 1502,2,DB
580,,ICE 1618,2,DB
581,,ICE 1708,2,DB
585,,ICE 1718,2,DB
586,,ICE 599,2,DB
587,,ICE 690,2,DB
597,,ICE 2529,2,DB
599,,ICE 2519,2,DB
600,,ICE 2523,2,DB
601,,ICE 696,2,DB
602,,ICE 1514,2,DB
603,,ICE 1512,2,DB
604,,ICE 1511,2,DB
605,,ICE 1510,2,DB
606,,ICE 1513,2,DB
607,,ICE 1505,2,DB
608,,ICE 1724,2,DB
609,,ICE 1720,2,DB
628,,ICE 1652,2,DB
630,,ICE 1650,2,DB
631,,ICE 1558,2,DB
634,,ICE 1556,2,DB
636,,ICE 1554,2,DB
638,,ICE 1552,2,DB
642,,ICE 1654,2,DB
644,,ICE 1594,2,DB
659,,ICE 2536,2,DB
666,,ICE 9554,2,DB
667,,ICE 9550,2,DB
668,,ICE 9558,2,DB
669,,ICE 9586,2,DB
671,,ICE 593,2,DB
672,,ICE 654,2,DB
674,,ICE 595,2,DB
675,,ICE 944,2,DB
676,,ICE 806,2,DB
677,,ICE 642,2,DB
678,,ICE 652,2,DB
679,,ICE 1634,2,DB
680,,ICE 597,2,DB
681,,ICE 640,2,DB
682,,ICE 650,2,DB
683,,ICE 1632,2,DB
684,,ICE 1050,2,DB
685,,ICE 940,2,DB
686,,ICE 1005,2,DB
687,,ICE 548,2,DB
688,,ICE 558,2,DB
689,,ICE 691,2,DB
690,,ICE 848,2,DB
691,,ICE 858,2,DB
693,,ICE 546,2,DB
694,,ICE 556,2,DB
695,,ICE 1538,2,DB
696,,ICE 693,2,DB
697,,ICE 846,2,DB
698,,ICE 856,2,DB
699,,ICE 1515,2,DB
700,,ICE 544,2,DB
701,,ICE 554,2,DB
702,,ICE 1536,2,DB
703,,ICE 1009,2,DB
704,,ICE 1517,2,DB
705,,ICE 1527,2,DB
707,,ICE 542,2,DB
708,,ICE 552,2,DB
710,,ICE 997,2,DB
711,,ICE 1506,2,DB
712,,ICE 832,2,DB
713,,ICE 842,2,DB
714,,ICE 1519,2,DB
715,,ICE 540,2,DB
716,,ICE 1056,2,DB
717,,ICE 946,2,DB
718,,ICE 1001,2,DB
719,,ICE 808,2,DB
720,,ICE 644,2,DB
721,,ICE 646,2,DB
722,,ICE 656,2,DB
724,,ICE 908,2,DB
725,,ICE 1638,2,DB
726,,ICE 1636,2,DB
728,,ICE 1518,2,DB
729,,ICE 1054,2,DB
734,,ICE 1052,2,DB
735,,ICE 942,2,DB
737,,ICE 1691,2,DB
738,,ICE 1555,2,DB
739,,ICE 694,2,DB
740,,ICE 1597,2,DB
741,,ICE 692,2,DB
742,,ICE 1559,2,DB
745,,ICE 1651,2,DB
747,,ICE 598,2,DB
749,,ICE 1653,2,DB
750,,ICE 596,2,DB
751,,ICE 1655,2,DB
752,,ICE 695,2,DB
753,,ICE 594,2,DB
755,,ICE 1657,2,DB
756,,ICE 592,2,DB
757,,ICE 1659,2,DB
758,,ICE 1646,2,DB
759,,ICE 1656,2,DB
761,,ICE 1557,2,DB
764,,ICE 1535,2,DB
765,,ICE 1004,2,DB
766,,ICE 1539,2,DB
767,,ICE 1631,2,DB
768,,ICE 1633,2,DB
769,,ICE 1000,2,DB
770,,ICE 1008,2,DB
771,,ICE 1533,2,DB
772,,ICE 1553,2,DB
775,,ICE 1739,2,DB
813,,ICE 1537,2,DB
815,,ICE 710,2,DB
818,,ICE 1572,2,DB
819,,ICE 774,2,DB
823,,ICE 777,2,DB
826,,ICE 1592,2,DB
832,,ICE 1630,2,DB
845,,ICE 732,2,DB
846,,ICE 841,2,DB
848,,ICE 1032,2,DB
849,,ICE 850,2,DB
864,,ICE 697,2,DB
865,,ICE 907,2,DB
866,,ICE 905,2,DB
867,,ICE 898,2,DB
868,,ICE 909,2,DB
870,,ICE 1523,2,DB
873,,ICE 1725,2,DB
907,,ICE 1590,2,DB
908,,ICE 996,2,DB
910,,ICE 1698,2,DB
911,,ICE 1193,2,DB
912,,ICE 1196,2,DB
913,,ICE 1695,2,DB
914,,ICE 1694,2,DB
915,,ICE 1697,2,DB
916,,ICE 1692,2,DB
921,,ICE 2581,2,DB
922,,ICE 2590,2,DB
927,,ICE 1693,2,DB
935,,ICE 1522,2,DB
936,,ICE 71,2,SBB
937,,ICE 73,2,SBB
938,,ICE 75,2,SBB
939,,ICE 77,2,SBB
940,,ICE 571,2,DB
941,,ICE 973,2,DB
944,,ICE 573,2,DB
945,,ICE 1173,2,SBB
946,,ICE 879,2,DB
949,,ICE 2571,2,DB
950,,ICE 2573,2,DB
951,,ICE 2575,2,DB
952,,ICE 2577,2,DB
954,,ICE 2582,2,DB
956,,ICE 672,2,DB
957,,ICE 674,2,DB
958,,ICE 772,2,DB
959,,ICE 78,2,DB
960,,ICE 770,2,DB
962,,ICE 76,2,DB
963,,ICE 2585,2,DB
964,,ICE 2584,2,DB
965,,ICE 578,2,DB
966,,ICE 575,2,DB
967,,ICE 576,2,DB
968,,ICE 577,2,DB
969,,ICE 2597,2,DB
970,,ICE 2599,2,DB
971,,ICE 1883,2,DB
973,,ICE 1884,2,DB
974,,ICE 591,2,DB
975,,ICE 1094,2,DB
976,,ICE 1097,2,DB
978,,ICE 970,2,DB
979,,ICE 74,2,DB
980,,ICE 1175,2,SBB
981,,ICE 1079,2,DB
982,,ICE 1690,2,DB
983,,ICE 1073,2,DB
984,,ICE 273,2,DB
985,,ICE 773,2,DB
987,,ICE 72,2,DB
988,,ICE 574,2,DB
989,,ICE 579,2,DB
990,,ICE 70,2,DB
991,,ICE 79,2,SBB
992,,ICE 572,2,DB
993,,ICE 776,2,DB
994,,ICE 13,2,DB
995,,ICE 15,2,DB
996,,ICE 211,2,DB
997,,ICE 210,2,DB
998,,ICE 14,2,DB
999,,ICE 215,2,DB
1000,,ICE 19,2,DB
1001,,ICE 10,2,DB
1003,,ICE 11,2,DB
1004,,ICE 18,2,DB
1007,,ICE 1224,2,DB
1018,,ICE 520,2,DB
1019,,ICE 922,2,DB
1020,,ICE 2502,2,DB
1021,,ICE 2526,2,DB
1022,,ICE 616,2,DB
1023,,ICE 614,2,DB
1024,,ICE 612,2,DB
1025,,ICE 1580,2,DB
1026,,ICE 1680,2,DB
1027,,ICE 511,2,DB
1028,,ICE 610,2,DB
1029,,ICE 513,2,DB
1030,,ICE 518,2,DB
1031,,ICE 515,2,DB
1032,,ICE 516,2,DB
1033,,ICE 786,2,DB
1035,,ICE 514,2,DB
1036,,ICE 1604,2,DB
1037,,ICE 537,2,DB
1038,,ICE 587,2,DB
1041,,ICE 519,2,DB
1042,,ICE 512,2,DB
1043,,ICE 590,2,DB
1045,,ICE 580,2,DB
1046,,ICE 510,2,DB
1048,,ICE 1681,2,DB
1049,,ICE 613,2,DB
1050,,ICE 1738,2,DB
1051,,ICE 615,2,DB
1052,,ICE 985,2,DB
1055,,ICE 981,2,DB
1058,,ICE 989,2,DB
1060,,ICE 1749,2,DB
1062,,ICE 999,2,DB
1064,,ICE 991,2,DB
1066,,ICE 1582,2,DB
1067,,ICE 1682,2,DB
1068,,ICE 1180,2,DB
1070,,ICE 277,2,DB
1072,,ICE 1040,2,DB
1073,,ICE 373,2,DB
1075,,ICE 375,2,DB
1077,,ICE 1699,2,DB
1078,,ICE 377,2,DB
1080,,ICE 877,2,DB
1097,,ICE 2598,2,DB
1098,,ICE 2541,2,DB
1099,,ICE 2543,2,DB
1102,,ICE 279,2,DB
1103,,ICE 271,2,SBB
1106,,ICE 374,2,DB
1107,,ICE 271,2,DB
1108,,ICE 200,2,DB
1109,,ICE 370,2,DB
1110,,ICE 101,2,DB
1113,,ICE 108,2,DB
1115,,ICE 71,2,DB
1116,,ICE 106,2,DB
1117,,ICE 276,2,DB
1118,,ICE 405,2,DB
1119,,ICE 504,2,DB
1120,,ICE 404,2,NS
1122,,ICE 107,2,DB
1123,,ICE 102,2,DB
1124,,ICE 272,2,DB
1125,,ICE 109,2,DB
1126,,ICE 100,2,DB
1127,,ICE 4,2,DB
1128,,ICE 201,2,DB
1129,,ICE 203,2,DB
1130,,ICE 604,2,DB
1131,,ICE 676,2,DB
1133,,ICE 202,2,DB
1134,,ICE 3,2,SBB
1135,,ICE 5,2,DB
1136,,ICE 874,2,DB
1137,,ICE 103,2,DB
1138,,ICE 1103,2,DB
1139,,ICE 1171,2,DB
1169,,ICE 843,2,DB
1170,,ICE 543,2,DB
1171,,ICE 1045,2,DB
1172,,ICE 855,2,DB
1173,,ICE 545,2,DB
1174,,ICE 555,2,DB
1175,,ICE 847,2,DB
1176,,ICE 857,2,DB
1177,,ICE 547,2,DB
1178,,ICE 557,2,DB
1179,,ICE 849,2,DB
1180,,ICE 859,2,DB
1181,,ICE 549,2,DB
1182,,ICE 559,2,DB
1183,,ICE 1051,2,DB
1184,,ICE 941,2,DB
1185,,ICE 641,2,DB
1186,,ICE 651,2,DB
1187,,ICE 1053,2,DB
1188,,ICE 943,2,DB
1189,,ICE 643,2,DB
1190,,ICE 653,2,DB
1191,,ICE 1055,2,DB
1192,,ICE 945,2,DB
1193,,ICE 844,2,DB
1194,,ICE 854,2,DB
1195,,ICE 645,2,DB
1196,,ICE 655,2,DB
1197,,ICE 947,2,DB
1198,,ICE 541,2,DB
1199,,ICE 853,2,DB
1200,,ICE 553,2,DB
