stop_id,stop_name,stop_lat,stop_lon
8000008,Kehl(Gr),48.575648,7.801117999999999
8002021,Forbach(fr),49.214089,6.944311
8000323,Saarbrücken Hbf,49.241066,6.9910190000000005
8000189,Kaiserslautern Hbf,49.436141,7.768712
8700271,Forbach(F),49.189215999999995,6.9002550000000005
8011102,Berlin Gesundbrunnen,52.548961,13.388516000000001
8000206,Koblenz Hbf,50.350928,7.588342999999999
8000050,Bremen Hbf,53.083478,8.813833
8000294,Osnabrück Hbf,52.272849,8.061778
8000263,Münster(Westf)Hbf,51.956563,7.635716
8000309,Regensburg Hbf,49.01167,12.099615
8000301,Plattling,48.779621999999996,12.863941
8000298,Passau Hbf,48.573634999999996,13.450775
8100013,Linz Hbf,48.290178000000004,14.292129000000001
8100008,St.Pölten Hbf,48.208304,15.624672
8100514,Wien Meidling,48.174451,16.333085
8103000,Wien Hbf,48.184923,16.375865
8011113,Berlin Südkreuz,52.47504300000001,13.365314999999999
8010222,Lutherstadt Wittenberg Hbf,51.867813,12.662286
8100014,Wels Hbf,48.166082,14.026570000000001
8100024,Schärding,48.463724,13.442514000000001
8011956,Jena Paradies,50.924853000000006,11.587464
8010240,Naumburg(Saale)Hbf,51.163067,11.796985000000001
8010368,Weißenfels,51.204615000000004,11.970925999999999
8010159,Halle(Saale)Hbf,51.477509999999995,11.987088
8010050,Bitterfeld,51.622857,12.316849000000001
8011191,Ostseebad Binz,54.404819999999994,13.600508
8010033,Bergen auf Rügen,54.420497,13.417821
8010338,Stralsund Hbf,54.308627,13.077318
8010139,Greifswald,54.092921,13.370258999999999
8010396,Züssow,53.973877,13.548191000000001
8011044,Anklam,53.856101,13.701826
8010268,Pasewalk,53.515356000000004,13.988878
8010282,Prenzlau,53.321611,13.866535
8010004,Angermünde,53.015223,13.996357000000001
8010093,Eberswalde Hbf,52.83401800000001,13.797057999999998
8010036,Berlin-Lichtenberg,52.510137,13.496692000000001
8001844,Erlangen,49.595896999999994,11.001907000000001
8010097,Eisenach,50.976919,10.331986
8010136,Gotha,50.939074,10.712571
8013470,Bernau(b Berlin),52.675655000000006,13.592463
8010382,Wittenberge,53.003114000000004,11.762871
8010216,Ludwigslust,53.334672,11.494489
8010355,Velgast,54.277317000000004,12.803138
8010304,Rostock Hbf,54.078242,12.131078
8010250,Neustrelitz Hbf,53.359258,13.074603
8000078,Donauwörth,48.714028000000006,10.771441000000001
8010361,Waren(Müritz),53.521513,12.680678
8013236,Warnemünde,54.176854000000006,12.091273
8000122,Treuchtlingen,48.961267,10.908158
8000199,Kiel Hbf,54.31498199999999,10.131976
8000271,Neumünster,54.075752,9.979814999999999
8001338,Coburg,50.263094,10.957374
8000228,Lichtenfels,50.14645,11.059474
8000020,Bad Hersfeld,50.869632,9.71618
8001920,Esslingen(Neckar),48.738811,9.300078
8006730,Neu-Ulm,48.393041,10.004823
8010366,Weimar,50.99149,11.326462
8010085,Dresden Hbf,51.040562,13.732039000000002
8010089,Dresden-Neustadt,51.065903000000006,13.740704000000001
8010297,Riesa,51.309653999999995,13.287738000000001
8000031,Bensheim,49.681329999999996,8.616717999999999
8000275,Neustadt(Weinstr)Hbf,49.349557,8.140757
8000176,Homburg(Saar)Hbf,49.328081,7.337032000000001
8001082,Bonn-Bad Godesberg,50.683924,7.1595580000000005
8000162,Herford,52.119609000000004,8.663642
8000331,Andernach,50.434546000000005,7.404837
8000084,Düren,50.809513,6.482454
8006713,Leverkusen Mitte,51.03151,6.991657000000001
8003368,Köln Messe/Deutz,50.940872,6.975
8000279,Nienburg(Weser),52.645568000000004,9.217755
8006076,Verden(Aller),52.920818000000004,9.237855
8000070,Delmenhorst,53.052789000000004,8.629761
8000291,Oldenburg(Oldb),53.144326,8.222712
8010334,Stendal,52.594725,11.854408
8002461,Gütersloh Hbf,51.906943,8.385075
8000252,Minden(Westf),52.290135,8.934728999999999
8098205,Leipzig Hbf (tief),51.345692,12.380429
8000377,Weinheim(Bergstr),49.553306,8.66535
8000631,Neu-Edingen/Friedrichsfeld,49.448671999999995,8.580123
8000058,Büchen,53.474976,10.623299000000001
8503000,Zürich HB,47.378177,8.540192999999999
8509411,Sargans,47.045361,9.445397999999999
8509002,Landquart,46.967442,9.554032000000001
8509000,Chur,46.853081,9.528925
8000118,Gelsenkirchen Hbf,51.5049,7.102458
8000307,Recklinghausen Hbf,51.616357,7.203488
8000237,Lübeck Hbf,53.867543999999995,10.669818
8000257,Worms Hbf,49.634937,8.356444
8000259,Mülheim(Ruhr)Hbf,51.431340999999996,6.88651
8070004,Frankfurt(M) Flughafen Regionalbf,50.051219,8.57125
