trip_id,arrival_time,departure_time,stop_id,stop_sequence
85,07:44:00,07:46:00,8000156,4
85,07:59:00,08:00:00,8000377,5
85,08:08:00,08:09:00,8000031,6
85,08:22:00,08:24:00,8000068,7
85,08:40:00,08:51:00,8000105,8
85,09:15:00,09:17:00,8000111,9
85,09:33:00,09:34:00,8000124,10
85,09:49:00,09:50:00,8000337,11
85,10:03:00,10:05:00,8005661,12
85,10:16:00,10:17:00,8000129,13
85,10:54:00,10:56:00,8003200,14
1,10:13:00,10:13:00,8002553,0
1,10:19:00,10:21:00,8002548,1
1,10:24:00,10:28:00,8002549,2
1,10:38:00,10:40:00,8000147,3
1,10:57:00,10:59:00,8000238,4
1,11:13:00,11:15:00,8000168,5
1,11:37:00,11:38:00,8000064,6
1,11:58:00,12:01:00,8000152,7
1,12:38:00,12:40:00,8000128,8
1,13:01:00,13:03:00,8003200,9
1,13:35:00,13:36:00,8000129,10
1,13:48:00,13:50:00,8005661,11
1,14:03:00,14:04:00,8000337,12
1,14:21:00,14:22:00,8000124,13
1,14:40:00,14:42:00,8000111,14
1,15:09:00,15:20:00,8000105,15
1,15:35:00,15:37:00,8000068,16
1,15:48:00,15:50:00,8000031,17
1,15:58:00,16:00:00,8000377,18
1,16:13:00,16:15:00,8000156,19
1,16:22:00,16:23:00,8006421,20
1,16:34:00,16:37:00,8000055,21
1,16:50:00,16:50:00,8000191,22
31,11:58:00,12:01:00,8000152,7
31,12:38:00,12:40:00,8000128,8
31,13:01:00,13:03:00,8003200,9
31,13:35:00,13:36:00,8000129,10
31,13:48:00,13:50:00,8005661,11
31,14:03:00,14:04:00,8000337,12
31,14:21:00,14:22:00,8000124,13
31,14:40:00,14:42:00,8000111,14
31,15:09:00,15:20:00,8000105,15
31,15:35:00,15:37:00,8000068,16
31,15:48:00,15:50:00,8000031,17
31,15:58:00,16:00:00,8000377,18
31,16:13:00,16:15:00,8000156,19
31,16:22:00,16:23:00,8006421,20
31,16:34:00,16:37:00,8000055,21
