route_id,service_id,trip_id,trip_headsign
0,0,0,Stralsund Hbf
0,10,10,Stralsund Hbf
0,26,27,Stralsund Hbf
0,29,30,Stralsund Hbf
0,60,64,Kassel-Wilhelmshöhe
0,67,76,Kassel-Wilhelmshöhe
0,71,85,Kassel-Wilhelmshöhe
1,1,1,Karlsruhe Hbf
1,30,31,Karlsruhe Hbf
1,60,65,Karlsruhe Hbf
1,68,77,Heidelberg Hbf
3,3,3,Hamburg-Altona
3,28,29,Hannover Hbf
3,60,68,Kassel-Wilhelmshöhe
3,68,80,Kassel-Wilhelmshöhe
4,4,4,Hamburg-Altona
4,14,14,Kassel-Wilhelmshöhe
4,18,18,Hannover Hbf
4,33,34,Hannover Hbf
4,57,61,Kassel-Wilhelmshöhe
4,65,81,Kassel-Wilhelmshöhe
4,69,82,Kassel-Wilhelmshöhe
5,5,5,Kassel-Wilhelmshöhe
5,35,36,Hannover Hbf
5,55,59,Hannover Hbf
5,70,83,Kassel-Wilhelmshöhe
5,22,5737,Hannover Hbf
6,6,6,Karlsruhe Hbf
6,71,84,Heidelberg Hbf
7,7,7,Karlsruhe Hbf
7,19,20,Karlsruhe Hbf
7,65,74,Heidelberg Hbf
7,913,4024,Karlsruhe Hbf
8,8,8,Hamburg-Altona
8,20,21,Hamburg-Altona
8,37,38,Hannover Hbf
8,41,45,Hannover Hbf
8,49,53,Hamburg-Altona
8,52,56,Hamburg-Altona
8,58,62,Kassel-Wilhelmshöhe
9,9,9,Frankfurt(Main)Hbf
9,15,15,Karlsruhe Hbf
9,36,39,Frankfurt(Main)Hbf
9,38,41,Karlsruhe Hbf
9,59,63,Frankfurt(Main)Hbf
9,62,70,Karlsruhe Hbf
9,66,75,Heidelberg Hbf
9,2062,3950,Karlsruhe Hbf
10,11,11,Stralsund Hbf
10,16,16,Stralsund Hbf
10,24,25,Stralsund Hbf
10,27,28,Stralsund Hbf
10,36,40,Stralsund Hbf
10,44,48,Stralsund Hbf
10,59,66,Kassel-Wilhelmshöhe
10,62,71,Kassel-Wilhelmshöhe
10,66,78,Kassel-Wilhelmshöhe
11,13,13,Frankfurt(Main)Hbf
11,17,17,Karlsruhe Hbf
11,21,22,Frankfurt(Main)Hbf
11,25,26,Frankfurt(Main)Hbf
11,32,33,Frankfurt(Main)Hbf
11,40,43,Karlsruhe Hbf
11,42,46,Frankfurt(Main)Hbf
11,46,50,Karlsruhe Hbf
11,51,55,Karlsruhe Hbf
11,53,57,Frankfurt(Main)Hbf
11,61,69,Frankfurt(Main)Hbf
11,63,72,Karlsruhe Hbf
11,64,73,Karlsruhe Hbf
12,17,19,Frankfurt(Main)Hbf
12,40,44,Frankfurt(Main)Hbf
12,47,51,Frankfurt(Main)Hbf
12,11,2157,Hannover Hbf
12,1217,2168,Hamburg Hbf
12,1221,2172,Hamburg-Harburg
12,36,2178,Hannover Hbf
12,1226,2187,Hannover Hbf
12,715,2203,Hannover Hbf
12,1241,2214,Hannover Hbf
14,23,24,Stralsund Hbf
14,36,37,Stralsund Hbf
14,43,47,Stralsund Hbf
14,1216,2156,Stralsund Hbf
14,21,2160,Stralsund Hbf
14,944,2165,Stralsund Hbf
14,26,2167,Stralsund Hbf
14,1218,2169,Stralsund Hbf
14,1220,2171,Stralsund Hbf
14,40,2180,Stralsund Hbf
14,1223,2181,Stralsund Hbf
14,809,2182,Stralsund Hbf
14,1227,2188,Stralsund Hbf
15,60,67,Karlsruhe Hbf
15,68,79,Karlsruhe Hbf
16,72,86,Heidelberg Hbf
16,75,96,Karlsruhe Hbf
17,73,87,Heidelberg Hbf
17,76,97,Karlsruhe Hbf
18,73,88,Kassel-Wilhelmshöhe
18,76,98,Kassel-Wilhelmshöhe
19,73,89,Heidelberg Hbf
19,76,99,Karlsruhe Hbf
20,73,90,Kassel-Wilhelmshöhe
20,76,100,Kassel-Wilhelmshöhe
21,73,91,Karlsruhe Hbf
21,76,101,Karlsruhe Hbf
22,73,92,Kassel-Wilhelmshöhe
22,76,102,Kassel-Wilhelmshöhe
23,72,93,Kassel-Wilhelmshöhe
23,74,94,Kassel-Wilhelmshöhe
23,75,103,Kassel-Wilhelmshöhe
23,77,104,Kassel-Wilhelmshöhe
24,74,95,Kassel-Wilhelmshöhe
24,77,105,Kassel-Wilhelmshöhe
35,119,155,Berlin Ostbahnhof
35,139,182,Berlin Ostbahnhof
35,148,193,Berlin Hbf (tief)
35,152,197,Berlin Ostbahnhof
35,73,209,Berlin Ostbahnhof
35,76,213,Berlin Ostbahnhof
35,170,225,Berlin Ostbahnhof
36,120,156,Berlin Ostbahnhof
36,52,181,Berlin Ostbahnhof
36,140,183,Berlin Ostbahnhof
36,142,187,Berlin Ostbahnhof
36,147,192,Berlin Ostbahnhof
36,152,198,Berlin Ostbahnhof
36,73,210,Berlin Ostbahnhof
36,76,214,Berlin Ostbahnhof
36,170,226,Berlin Ostbahnhof
38,122,158,Interlaken Ost
38,126,164,Interlaken Ost
38,129,171,Interlaken Ost
38,134,176,Interlaken Ost
38,140,184,Interlaken Ost
38,143,188,Interlaken Ost
38,153,199,Interlaken Ost
38,163,216,Interlaken Ost
38,171,227,Interlaken Ost
40,124,160,Hamburg-Altona
40,127,165,Frankfurt(Main)Hbf
40,132,174,Hamburg Hbf
40,144,189,Hamburg-Altona
40,156,203,Hamburg-Altona
40,165,218,Frankfurt(Main)Hbf
42,119,162,Interlaken Ost
42,141,185,Interlaken Ost
42,155,201,Interlaken Ost
42,167,220,Interlaken Ost
43,119,163,Interlaken Ost
43,141,186,Interlaken Ost
43,155,202,Interlaken Ost
43,167,221,Interlaken Ost
44,74,211,Hamburg-Altona
