route_id,route_short_name,route_long_name,route_type,agency_id
514,,ICE 804,2,DB
515,,ICE 1500,2,DB
516,,ICE 701,2,DB
517,,ICE 703,2,DB
518,,ICE 802,2,DB
519,,ICE 599,2,DB
520,,ICE 800,2,DB
521,,ICE 707,2,DB
522,,ICE 690,2,DB
524,,ICE 709,2,DB
525,,ICE 706,2,DB
526,,ICE 801,2,DB
527,,ICE 704,2,DB
528,,ICE 1627,2,DB
529,,ICE 702,2,DB
531,,ICE 1618,2,DB
532,,ICE 1701,2,DB
533,,ICE 892,2,DB
534,,ICE 1531,2,DB
563,,ICE 1148,2,DB
566,,ICE 1671,2,DB
569,,ICE 1679,2,DB
573,,ICE 1678,2,DB
578,,ICE 1748,2,DB
580,,ICE 1749,2,DB
591,,ICE 1652,2,DB
592,,ICE 1650,2,DB
594,,ICE 1558,2,DB
596,,ICE 1556,2,DB
597,,ICE 1554,2,DB
598,,ICE 1552,2,DB
600,,ICE 1654,2,DB
604,,ICE 1550,2,DB
615,,ICE 9554,2,DB
616,,ICE 9550,2,DB
617,,ICE 9558,2,DB
618,,ICE 9586,2,DB
620,,ICE 593,2,DB
621,,ICE 654,2,DB
623,,ICE 595,2,DB
624,,ICE 944,2,DB
625,,ICE 806,2,DB
626,,ICE 642,2,DB
627,,ICE 652,2,DB
628,,ICE 1634,2,DB
629,,ICE 597,2,DB
630,,ICE 93,2,ÖBB
631,,ICE 696,2,DB
632,,ICE 640,2,DB
633,,ICE 650,2,DB
634,,ICE 1632,2,DB
635,,ICE 1050,2,DB
636,,ICE 940,2,DB
637,,ICE 1005,2,DB
638,,ICE 548,2,DB
639,,ICE 558,2,DB
640,,ICE 691,2,DB
641,,ICE 848,2,DB
642,,ICE 858,2,DB
644,,ICE 546,2,DB
645,,ICE 556,2,DB
646,,ICE 1538,2,DB
647,,ICE 693,2,DB
648,,ICE 846,2,DB
649,,ICE 856,2,DB
650,,ICE 1007,2,DB
651,,ICE 544,2,DB
652,,ICE 554,2,DB
653,,ICE 1536,2,DB
654,,ICE 1009,2,DB
656,,ICE 1705,2,DB
657,,ICE 542,2,DB
658,,ICE 552,2,DB
659,,ICE 997,2,DB
660,,ICE 1607,2,DB
661,,ICE 840,2,DB
662,,ICE 1056,2,DB
663,,ICE 946,2,DB
664,,ICE 1001,2,DB
665,,ICE 1003,2,DB
666,,ICE 646,2,DB
667,,ICE 656,2,DB
669,,ICE 908,2,DB
670,,ICE 1638,2,DB
671,,ICE 808,2,DB
672,,ICE 644,2,DB
673,,ICE 1636,2,DB
675,,ICE 1606,2,DB
676,,ICE 2584,2,DB
677,,ICE 1054,2,DB
678,,ICE 1142,2,DB
680,,ICE 1555,2,DB
681,,ICE 694,2,DB
682,,ICE 1557,2,DB
683,,ICE 692,2,DB
684,,ICE 1559,2,DB
687,,ICE 1651,2,DB
690,,ICE 1653,2,DB
691,,ICE 596,2,DB
692,,ICE 1655,2,DB
694,,ICE 695,2,DB
695,,ICE 594,2,DB
697,,ICE 1657,2,DB
698,,ICE 592,2,DB
699,,ICE 1659,2,DB
700,,ICE 1646,2,DB
701,,ICE 1656,2,DB
703,,ICE 598,2,DB
706,,ICE 1535,2,DB
707,,ICE 1539,2,DB
708,,ICE 1633,2,DB
709,,ICE 1533,2,DB
712,,ICE 1004,2,DB
713,,ICE 1631,2,DB
714,,ICE 1002,2,DB
